date,numWeek,nameOf,continuousHoliday,nameDay,checkHoliday,nameType
2/6/2022,6,Normal Day,no,Sunday,holiday,weekEnd
2/7/2022,6,Normal Day,no,Monday,not holiday,weekDay
2/8/2022,6,Normal Day,no,Tuesday,not holiday,weekDay
2/9/2022,6,Normal Day,no,Wednesday,not holiday,weekDay
2/10/2022,6,Normal Day,no,Thursday,not holiday,weekDay
2/11/2022,6,Normal Day,no,Friday,not holiday,weekDay
2/12/2022,7,Normal Day,no,Saturday,holiday,weekEnd
2/13/2022,7,Normal Day,no,Sunday,holiday,weekEnd
2/14/2022,7,Normal Day,no,Monday,not holiday,weekDay
2/15/2022,7,Normal Day,no,Tuesday,not holiday,weekDay
2/16/2022,7,Makha Bucha Day,no,Wednesday,holiday,Spacial
2/17/2022,7,Normal Day,no,Thursday,not holiday,weekDay
2/18/2022,7,Normal Day,no,Friday,not holiday,weekDay
2/19/2022,8,Normal Day,no,Saturday,holiday,weekEnd
2/20/2022,8,Normal Day,no,Sunday,holiday,weekEnd
2/21/2022,8,Normal Day,no,Monday,not holiday,weekDay
2/22/2022,8,Normal Day,no,Tuesday,not holiday,weekDay
2/23/2022,8,Normal Day,no,Wednesday,not holiday,weekDay
2/24/2022,8,Normal Day,no,Thursday,not holiday,weekDay
2/25/2022,8,Normal Day,no,Friday,not holiday,weekDay
2/26/2022,9,Normal Day,no,Saturday,holiday,weekEnd
2/27/2022,9,Normal Day,no,Sunday,holiday,weekEnd
2/28/2022,9,Normal Day,no,Monday,not holiday,weekDay
3/1/2022,9,Normal Day,no,Tuesday,not holiday,weekDay
3/2/2022,9,Normal Day,no,Wednesday,not holiday,weekDay
3/3/2022,9,Normal Day,no,Thursday,not holiday,weekDay
3/4/2022,9,Normal Day,no,Friday,not holiday,weekDay
3/5/2022,10,Normal Day,no,Saturday,holiday,weekEnd
3/6/2022,10,Normal Day,no,Sunday,holiday,weekEnd
3/7/2022,10,Normal Day,no,Monday,not holiday,weekDay
3/8/2022,10,Normal Day,no,Tuesday,not holiday,weekDay
3/9/2022,10,Normal Day,no,Wednesday,not holiday,weekDay
3/10/2022,10,Normal Day,no,Thursday,not holiday,weekDay
3/11/2022,10,Normal Day,no,Friday,not holiday,weekDay
3/12/2022,11,Normal Day,no,Saturday,holiday,weekEnd
3/13/2022,11,Normal Day,no,Sunday,holiday,weekEnd
3/14/2022,11,Normal Day,no,Monday,not holiday,weekDay
